الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
سودامين المحدودة,Sudamin Ltd,سودانية,الخرطوم – المنشية ,,سليمان احمد حامد,(+249)-123108687,0,,sudamin.company.ltd@gmail.com,متوقفة
نامية للتعدين المحدودة,Namia for Mining Ltd,سودانية,الخرطوم بحري - كافوري - مربع (5) - (ابوحمد - الجمارك),,حافظ محمد زين,(+249)-912317353,توفيق محمد زين,(+249)-912334558,namia@gmail.com,منتجة
فضل المولى عرديب للتجارة و الاستثمار المحدودة,Fadl Al Mawla Ardeep for Trade & Investment Ltd,سودانية,منطقة الخرطوم (2) - شمال غرب مقابر فاروق (بورتسودان - اربعات - موقع شركة اعناب),,محمد ابراهيم عثمان,(+249)-918220601,الصادق علي محمد,(+249)-967911043,backry@hotmail.com,منتجة
كريبر للحلول المتكاملة المحدودة,Kreber Integrated Solutions Ltd,سودانية,الخرطوم بحري - حلة حمد - جوار فندق قصر الصداقة - مربع (5) عقار رقم 62 الطابق الثالث,www.creeper.com.sd,الفاتح الطيب الشيخ,(+249)-912344120,الدرديري حسن,(+249)-912327392,Creepermining.mss@gmail.com,منتجة
يونميكس للانشطة المتعددة,Unmix for Multi-Activity Ltd,سودانية,أركويت مربع (5) عقار رقم 449 الطابق الاول,www.Deepertrading.com,عمرو علي المادح,(+249)-912351478,خالد يوسف موسى,(+249)-914625500,amro.elmadeh@deepertrading.com,منتجة
اتوبان للانشطة المتعددة المحدودة,Atopan for Multi-Activity Ltd,سودانية,الخرطوم - اركويت - مربع 65 - عمارة عثمان الهادي - الطابق الثاني شقة رقم (3),,رمضان حامد محمد,(+249)-912155632,مآب منصور,(+249)-120006581,autobahn6622@gmail.com,تحت التأسيس
حجاجية لتعدين الذهب المحدودة,Hajaya for Gold Mining Ltd,سودانية,الخرطوم - المعمورة - برج الساعة,,عثمان حامد عمر,(+249)-912311053,محمد دفع الله الأمين,(+249)-912106435,hagagiagoldmining@gmail.com,مقبلة
وادي العشار للتعدين المحدودة,Wadi Al Ashar for Mining Ltd,سودانية,الخرطوم - الطائف - مربع 23 - فيلا رقم 29,,عمار عثمان الخضر,(+249)-912175914,محمد عثمان خلف الله,(+249)-912175914,wadeyelosharmining@outlook.com,تحت التأسيس
ابولميس للتعدين ,Abulmis for Mining,سودانية,الخرطوم - شارع الستين - برج ترحال - الطابق الثاني - شقة 1,,موسي علي موسي,(+249)-912379685,محمد خير عبد الكريم,(+249)-912383958,musaali@gmail.com,تحت التأسيس
سعود البرير للتعدين المحدودة,Saud Al Breer for Mining Ltd,سودانية,الخرطوم - برج البركة - الطابق الثاني - شقة رقم 505,,مهند سعود مامؤن محمد,(+249)-912319989,خضر عمر الخضر,(+249)-912404332,saudgroup@yahoo.com,تحت التأسيس
أعمال المجموعة الدولية للتعدين (2),International Mining Group Ltd - (1),سودانية,الخرطوم - شارع البلدية  - شرق بنك بيبلوس,,عادل عبد اللطيف,(+249)-123666443,عبد القادر شيملة,(+249)-918287645,globalmining2015@gmail.com,تحت التأسيس
نزار عبد الله عثمان للتعدين الصغير,Nizar Abdullah Othman for Small Mining,سودانية,0,,نزار عبد الله عثمان,(+249)-912377746,نزار عبد الله عثمان,(+249)-912377746,,تحت التأسيس
شيبا للتعدين و التنقيب (2),Sheba for Mining & Exploration (1),سودانية,0,,محمد عووضة,(+249)-912466416,محمد عووضة,(+249)-912466416,,تحت التأسيس
سكسيد أب للتجارة العامة المحدودة,Sexed Up for General Trading Ltd,سودانية,الخرطوم - امتداد ناصر - مربع (4) - مبنى رقم 168,,عثمان  ابو القاسم,(+249)-912371979,عثمان  ابو القاسم,(+249)-912300633,menogasim@gmail.com,تحت التأسيس
قولد نايل  للتعدين,Gold Nile for Mining,سودانية,الخرطوم - المقرن - شارع البلدية,,عبد الكريم موسى,(+249)-912305831,عبد الكريم موسى,(+249)-912305831,infoealcardinacgroup.com,تحت التأسيس
بتروفيلد للتعدين المحدودة,Petrofield for Mining Ltd,سودانية,الخرطوم - الطائف مربع (22) - جنوب سكر كنانة  - مبنى رقم (717),,ابو شنة يعقوب المبارك,(+249)-183496962,محمد هاشم السنوسي,(+249)-912168661,petrofeild202021@gmail.com,تحت التأسيس
نبرا للتعدين المحدودة,Nebra for Mining Ltd,سودانية,الخرطوم - امتداد ناصر - مربع (5) - مبنى رقم 266 - شقة رقم (3),,عبد الله موسى بخيت,(+249)-116588433,اميرة عصمت,(+249)-916191900,nanbramining@hotmail.com,تحت التأسيس
ازوم للأنشطة المتعددة المحدودة,Azum for Multi-Activity Ltd,سودانية,الخرطوم - الطائف مربع (22) - جنوب سكر كنانة  - مبنى رقم (717),,معاذ يوسف محمد,(+249)-912334587,رامي عثمان,(+249)-900995555,azoom202021@gmail.com,تحت التأسيس
وجدي للتعدين ,Wajdi for Mining Ltd,سودانية,الخرطوم - الطائف - شارع السلام - مبنى رقم 116 - مربع 22,,ميرغني محمد الخليفة,(+249)-912306809,احمد السنوسي محمد,(+249)-111689333,moslihsanosi@gmail.com,تحت التأسيس
هديل للتعدين و معالجة مخلفات التعدين,Hadeel for Mining and Tailings Treatment,سودانية,الخرطوم شمال,,ياسر بابكر,(+249)-912306626,علي حجاج,(+249)-122345830,,تحت التأسيس
سلوفينا للتعدين المحدودة,Slovenia for Mining Ltd,سودانية,الخرطوم - برج البركة - الطابق الثاني - شقة رقم 505,,مهند سعود مامؤن محمد,(+249)-912319989,خضر عمر الخضر,(+249)-912404332,info@mamounelberier.com,تحت التأسيس
شوبان للتعدين المحدودة,Shopan for Mining Limited,سودانية,الخرطوم (2) - شارع رقم (37) - مبنى 39/1,,عبد الباقي عبد الله,(+249)-912311438,ولدي عبد الحميد,(+249)-901629421,info@shopangroup.com,تحت التأسيس
الزيداب العالمية المحدودة,Zaidab International Ltd,سودانية,,,خالد عمر الشيخ,,,,,تحت التأسيس
هاس ترانسبورت إل إل سي المحدودة,Haas Transport LLC Ltd,سودانية,,,كمال حسب الله,(+249)-123866867,كمال حسب الله,(+249)-123866867,,تحت التأسيس
الفدرالية للأعمال المتقدمة المحدودة,AlFederal for Advanced Business Ltd,سودانية,الخرطوم - المجاهدين - جنوب ابراج المعادن - عقار رقم 51,,عيسى عثمان محمد,,محمد فضل الله,(+249)-912189480,,تحت التأسيس
شوشناي للتجارة و الخدمات المحدودة,Shoshnai for Trading & Services Ltd,سودانية,,,,,,,,تحت التأسيس
مرمر للمشاريع المتطورة المحدودة,Marmar for Advanced Projects Ltd,سودانية,الخرطوم - الديم مربع (1ك) - عقار رقم (9) - شرق أبراج الشرطة بابو حمامة,,الأمين عبد المعروف,(+249)-912365085,الأمين عبد المعروف,(+249)-912365085,,تحت التأسيس
ساوى للأنشطة المتعددة المحدودة,Sawa for Multi-Activity Ltd,سودانية,,,,,,,,تحت التأسيس
وادي قرضاية للأنشطة المتعددة المحدودة,Wadi Karadaya for Multiple Activities Ltd,سودانية,نهر النيل - محلية ابوحمد,,موسى محمد دابو,,,,,تحت التأسيس
كالندر للتعدين,Callender for Mining,سودانية,الخرطوم - المعمورة - غرب معرض جياد - كيلو 8 - عقار رقم (171) مربع (85),,عبدالمجيد طلسم,(+249)-912392336,عبدالمجيد طلسم,(+249)-912392336,am_talsam@yahoo.com,تحت التأسيس
الهصور للتعدين - (كدرمة),Al Hussour for Mining - (Kaderma),سودانية,الخرطوم بحري - شارع الإنقاذ - الصافية غرب - بالقرب من مصنع الشروق للصابون,,معتصم الحاج التوم,(+249)-123092093,مأمون حسن شلبي,(+249)-912176444,M.shalbi644@gmail.com,متوقفة
دوسة للأنشطة المتعددة,Dusa Multi-Activity Ltd.,سودانية,الخرطوم - شارع الحرية - عمارة دوسة الطابق الثاني شقة رقم 8,,منصور ادم دوسة,(+249)-912304221,شريف صلاح شريف,(+249)-912356182,SudandDosa,منتجة
a,Detasi for Investments Ltd,سودانية,الخرطوم بحري - كافوري م(11) برج فاميلي - مبنى رقم (55) - الطابق الاول - شقة رقم (1),,محمد عمر شونة,(+249)-912393977,محمد بابكر فضل الله,(+249)-916161580,SudandDosa@gmail.com,منتجة
الهصور للتعدين - (الخناق),Al Hussour for Mining - (Alkhank),سودانية,الخرطوم بحري - شارع الإنقاذ - الصافية غرب - بالقرب من مصنع الشروق للصابون,,معتصم الحاج التوم,(+249)-123092093,مأمون حسن شلبي,(+249)-912176444,M.shalbi644@gmail.com,منتجة
رويال للأعمال المتقدمة,Royal for Advanced Business Ltd.,سودانية,الخرطوم - العمارات شارع 45 - عقار رقم 9 - برج النخيل (وادي حلفا),,طه محمد شنان,(+249)-924000140,عوض محمد سليمان,(+249)-912576626,royalminingsd@gmail.com,منتجة
أعمال المجموعة الدولية للتعدين  - صواردة,International Mining Group Ltd - Sawarda,سودانية,الخرطوم - شارع البلدية  - شرق بنك بيبلوس,,عادل عبد اللطيف,(+249)-123666443,عبد القادر شيملة,(+249)-918287645,globalmining2015@gmail.com,متوقفة
الأنفال للتعدين المحدودة,Al Anfal for Mining Ltd.,سودانية,ام درمان - المنطقة الصانعية مربع 5/1 عقار رقم (1744),,الشفيع علي يوسف,(+249)-912236865,الجيلي حسن محمد,(+249)-91594005,supergaily01@yahoo.com,متوقفة
الإعتماد للصناعات الحديدية المحدودة - (القعب),Al Etemad for Steel Industries Limited - (Al-Qa'ab),سودانية,دنقلا- المجلس التشريعي   -   الخرطوم - بري - قشارع المعرض - أبراج الأمراء ,,رحمة الله عبد الدائم,(+249)-912493090,فيصل محمد عبد الله,,,منتجة
مدن الذهب السبع للتعدين ,Modan Alzahab for Mining,سودانية,الخرطوم - المعمورة - غرب معرض جياد - كيلو 8 - عقار رقم (171) مربع (85),,عبدالمجيد طلسم,(+249)-912392336,امير بلة محمد,(+249)-912626278,Demhom.sam@gmail.com,منتجة
الفطيم للأعمال المتقدمة المحدودة,Al-Futtaim for Advanced Business Ltd,سودانية,الخرطوم - الطائف مربع (23) - فيلا رقم (29),,عيسى عبد المنعم,(+249)-912300812,محمد عبد المنعم,(+249)-910000051,infoialfuttaim-group.com,متوقفة
برخيا للأعمال المتقدمة المحدودة,Brkheya for Advanced Business Ltd,سودانية,أم درمان - المنطقة الصناعية - عقار رقم (2086) - مربع 2/5,,عبد الرحيم بشير عبد الرحيم,(+249)-912422023,محمد نوري مصطفى,(+249)-912906831,Brkheya.co.ltd@gmail.com,منتجة
أعمال الناير للتعدين,Al Nayer for Mining,سودانية,الخرطوم - المغتربين - عقار رقم (30) منزل رقم (286) ,,علي بلة حامد,(+249)-912300593,ايوب بلة حامد,(+249)-912369337,,منتجة
جمعية نور الهدى التجارية المتعددة الاغراض,Nour Al Huda Multipurpose Commercial Association,سودانية,الخرطوم - المعمورة - مربع (85) - جوار شركة زين,,إبراهيم الحسن محمد,(+249)-123900082,عبد الحفيظ عبد الكريم,(+249)-912317101,nooralhud@gmail.com,منتجة
أعمال ود الخير للتعدين,Wad al-Khair for Mining Business,سودانية,الخرطوم - بري - حي الشاطئ - برج الرويال - الطابق الرابع - شقة 406,,سعيد احمد محمد,(+249)-912303833,سعيد احمد محمد,(+249)-912303833,info@wadilkhairmining.com,منتجة
سبدو للأنشطة المتعددة المحدودة,Sebdo for Multiple Activities Ltd,سودانية,الخرطوم بحري - كافوري -مربع (4) - عقار رقم (11),,محجوب محمد الطاهر,(+249)-123056566,علي محمد الطاهر,(+249)-123636864,sabdumining.info@gmail.com,منتجة
أبو حنيفة للنقل و التجارة المحدودة,Abu Hanifa for Transport and Trading Ltd.,سودانية,ام درمان - السوق الشعبي  - غرب بنك فيصل الإسلامي,,احمد عبد الله احمد,(+249)-917578775,معاوية عبد الواحد علي,(+249)-915086045,hanifaco@gmail.com,منتجة
ثرو الإستشارية المحدودة,Tharwa Consultancy Limited,سودانية,الخرطوم - الجريف غرب مربع 85 - عقار رقم 1/304 (الخناق),,ناجي عابدين خضر,(+249)-11715336,الواثق عبد الوهاب علي,(+249)-123887278,nagi901@hotmail.com,منتجة
أس ام تي للمشاريع المتطورة المحدودة,SMT for Advanced Projects Ltd,سودانية,الخرطوم غرب - عمارة الصافات - مبنى رقم (7) - الطابق الاول - مكتب رقم (63) - مربع (7د),,ايمن صالح,(+249)-123626106,ايمن صالح,(+249)-123626106,info@smtadvs.com,متوقفة
عادل ميرغني الرفاعي للتعدين,Adel Mirghani El Rifai for Mining,سودانية,بورتسودان -السوق - عمارة التأمينات الإسلامية - الطابق الثاني - شقة رقم (4),,عادل ميرغني الرفاعي,(+249)-912301003,عادل ميرغني,(+249)-912301003,BASMAADIL2@gmail.com,منتجة
وي لينك للانشطة المتعددة (معالجة جيرة),WeLink for Multiple Activities Ltd,سودانية,الخرطوم - أبراج النيلين - برج (82) - شقة رقم (802) - (عطبرة -عمارة البحاري),www.welink-sd.com,إدريس عثمان عبد الوهاب,(+249)-912210296,الشريف سيد جابر,(+249)-123533626,drs076@yahoo.com,مقبلة
المنظور البعيد للأنشطة المتعددة المحدودة,Almnzor Albaid for limited multiple activities,سودانية,,,محمد يحي,(+249)-912393155,محمد باسطم,(+249)-912329128,,مقبلة
فري بورت للتعدين,Freeport for Mining Ltd,سودانية,الخرطوم - شارع الستين - الجريف غرب - مربع (85) - مبنى رقم (224) - برج فري بورت,,محمد عثمان,(+249)-912308420,محمد إبراهيم,(+249)-123025618,omerosamasl@gmail.com,مقبلة
تونجل للتعدين المحدودة (2),Tongil for Mining Ltd (2),سودانية,الخرطوم - المنطقة الصناعية الجديدة - شارع الغابة -جوار هوندا الخبير - غرب مطابع العملة,,د.ياسر بشير حسن,(+249)-913933812,مدثر محمد احمد,(+249)-912360773,SENABEL.NA_CO@YAHOO.COM,مقبلة
المؤسسة التعاونية ام أيه و شركة أم أيه جنرال سيرفس المحدودة,M.A. Co-operative Organisation and M.A. General Service Ltd,سودانية,الخرطوم بحري - شارع الإنقاذ - عقار رقم (1),,لواء/زاهر حسن,,زين العابدين آدم,(+249)-912331424,eatzaz25@gmail.com,تحت التأسيس
لازارا  للأعمال المتقدمة المحدودة,Lazara for Advanced Business Ltd,سودانية,الخرطوم - الطائف  مربع 22-غرب شارع السلام - جوار مسجد مهران,,عبد الرحمن ادريس النور,(+249)-912317966,بكري الجبار,(+249)-912328192,larazaadvanced@gmail.com,تحت التأسيس
فرك الكبرى للمعادن و التجارة و الإستثمار,"frok alkubra for Minerals, Trade and Investment Ltd",سودانية,الخرطوم - شارع الجامعة - برج المعلم - الطابق الارضي,,لواء/ محمد محمد أحمد,,صفوان محمد,(+249)-926580941,,تحت التأسيس
تونجل للتعدين (1),Tongil for Mining Ltd (1),سودانية,الخرطوم - المنطقة الصناعية الجديدة - شارع الغابة -جوار هوندا الخبير - غرب مطابع العملة,,د.ياسر بشير حسن,(+249)-913933812,مدثر محمد احمد,(+249)-912360773,SENABEL.NA_CO@YAHOO.COM,تحت التأسيس
هايتند للانشطة المحدودة,Um Daraba for Investment & Transport Ltd,سودانية,,,عبد الله,(+249)-912326426,عبد الله,(+249)-912326426,,تحت التأسيس
شيبا للتعدين و التنقيب (1),Hytend for Activities Ltd,سودانية,,,,,,,,تحت التأسيس
وضاح صالح للتعدين,Sheba for Mining & Exploration (1),سودانية,,,محمد عووضة,(+249)-912466416,محمد عووضة,(+249)-912466416,,تحت التأسيس
ام ضرابة للإستثمار و النقل المحدودة,Waddah Saleh for Mining,سودانية,الخرطوم - الجريف غرب- الحارة الاولى - عقار رقم (38 ج),,وضاح صالح,(+249)-912300300,وضاح صالح,(+249)-912300300,sati@wedansd.com,تحت التأسيس
شركة لانوس,Lanous factory for  waste mining,سودانية,الخرطوم الطائف - شارع النخيل - مربع61 - عقار22,,,,محمد عووضة,(+249)-912466416,,تحت التأسيس
شركة ود البطانة للتعدين,Wad albutana for mining co .LT,سودانية,الخرطوم - بحرى - كافورى,,محمد عووضة,(+249)-912466416,وضاح صالح,(+249)-912300300,sati@wedansd.com,تحت التأسيس
شركة رواء  للمشاريع المتطورة,Rawa mineral waster treatment,سودانية,بورتسودان حى المطار,,وضاح صالح,(+249)-912300300,تاج السر ,918129998,aasif92013@gmail.com,تحت التأسيس
شركة بترونيدز للخدمات العالمية المحدودة,شركة بترونيدز للخدمات العالمية المحدودة,سودانية,,,,,,,,منتجة
اعمال المجموعة الدولية –يد الوحش,the implementation of the international group,سودانية,الخرطوم,,عادل لطفي نصر,12366443,مهند الحاج,912104622,Globalgroup201@gmail.com,منتجة
شركة دقرسم,Dagursm,سودانية,,,,,,,,ملغية
زرياب للتنمية المحدودة (وديان للتعدين),Wadian mining,سودانية,الحرطوم _ بحري _ المغتربين,,محمد عثمان عيسى ,912399777,مهند حمزة,912392838,wediansudan@gmail.com,منتجة
شركة أبورقية للتنمية المحدودة 1,Abu rugia for development CO. LTD,سودانية,الخرطوم بحري - حي الميرغنية - مربع (1) - عقار رقم (35),,محمد المصطفى خالد عثمان عيسى,912324007,,,,تم الإلغاء
شركة عبقرينو الهندسية,Abarino engineering for const,سودانية,الخرطوم _بحري _ كافوري شرق مسجد النور,,مصعب عبدالله عبدالرحمن,912346916-0912428452,طارق صالح,912346916,Executive.abgreeno@gmail.com,متعثرة
شركة أبورقية للتنمية المحدودة,Abu rugia for development CO. LTD,سودانية,الخرطوم بحرى,,محمد المبارك ابراهيم,999343374-0122188180,نجم الدين داوؤد,12324007,mohammedmubarak1@hotmail.com,منتجة
شركة ياباسط,شركة ياباسط,سودانية,الخرطوم _ بحري _ كافوري,,أيمن,912166566,أيمن الأمين,900940966,,متعثرة
شركة رياض للتعدين المحدودة,شركة رياض للتعدين المحدودة,سودانية,,,0,0,0,,,منتجة
شركة بلوتو للانشطة المتعددة,شركة بلوتو للانشطة المتعددة,سودانية,,,,0,0,,,تحت التاسيس
شركة السندي,Alsindi mining company,سودانية,الخرطوم _ بجري _ شارع كسلا,,وائل محمد احمد ,912309253,الضو الصديق الضو,912689099,,منتجة
شركة اليمنتس للتعدين,شركة اليمنتس للتعدين,سودانية,,,,,0,,,منتجة
شركة اعمال التعدين المتقدمة,Advanced mining works company LTD,سودانية,الخرطوم - بحرى  كافورى ابراج المجموعة الدفاعية,,مصطفى محمد احمد,,0,,adamico@yahoo.com,منتجة
شركة البراح المحدودة,شركة البراح المحدودة,سودانية,الحرطوم _ بحري _ كافوري,,الرشيد محمد الطاهر,123354371,ادم إبراهيم عبد الرحمن,912372332,,متعثرة
شركة كفاءة للانشطة المتعددة,Kafaa h multi activities co. LT,سودانية,الخرطوم – ام درمان – شارع العرضة جنوب القسم الأوسط,القضارف الصباغ,محمد فضل المولى,912328370-0912306388,طه محمد فضل المولى,912371746,tahamfm@gmail.com,منتجة
اعمال المجموعة الدولية للتعدين 1,the implementation of the international group,سودانية,عطبرة شارع كسلا,,عادل عبداللطيف سر الختم- ,123655595-0912355390,ابوزيد حمد عيسى,91887771,Globalgroup201@gmail.com,منتجة
شركة نوارن تو,Noran tow mining company,سودانية,الخرطوم _ بحري ,,محمد عثمان حسن,09122263919-0912466550,ريهام عبدالرحمن,916569306,noran2@gmail.com,منتجة
شركة تنامي للتعدين,Tanami mining co LT,سودانية,الدمازين حى الرياض,www.tanamiminingco.ltd.com,عبدالله جعفر محمد احمد,960733198-0915467036,هاشم احمد بله,915467036,,منتجة
اعمال المجموعة الدولية للتعدين,the implementation of the international group,سودانية,الخرطوم,,عادل لطفي نصر,12366443,م.محمد عبدالله محمد,993685962 \ 900043772,Globalgroup201@gmail.com,منتجة
ابوعمرو للتعدين,ابوعمرو للتعدين,سودانية,_,,_,_,_,_,,ملغية
انترنت العالمية للتجارة والترحيل,Internet international trade & transport co,سودانية,الخرطوم,,حسين سيد قطان,912202896,خالد احمد عبدالودود,917048480 \ 0912363370,Ittco@hotmail.com,منتجة
جلجال للتعدين,جلجال للتعدين,سودانية,كسلا المرغنية,,هيام عثمان على,912549747,الزبير عبدالله نمر,912951447,,منتجة
بان قلف للأنشطة المتعددة المحدودة,Pangulf mining,سودانية,عطبرة,www.hplus-sd.com,نور الله محمد زين,(+249)-912317353- 0121401744,حسن بكرى,912439262,pangulf-sd@gmail.com,منتجة
العنود للتعدين,العنود للتعدين,سودانية,,,حاتم عثمان بابكر ,,0,,,منتجة
شركة APG للتعدين المحدودة,APG  for mining,سودانية,الخرطوم,,حاتم,916400555,عمير سوركتي,119999401,,منتجة
شكير للتعدين,Shakir mining,سودانية,,,عثمان عصام,912604140,عثمان عصام,912604140,Shakir.mining309@gmail.com,منتجة
شركة قولدن إيرث للتعدين و الإستثمار,Golden earth for mining & invistment ,سودانية,الخرطوم,,اسعد حسب الرسول ابراهيم,912308423,,,,مقبلة
شركة اتش اند ام باور للهندسة والإنشاءات والتجارة المحدودة,H@M for engineering cons &trad,سودانية,بحرى كافورى مربع 11 - مبنى رقم 55 الطابق الاول- شقة2,"
",محمد عمر عبدالسلام,912303131-912364794-0912350937,عبدالعزيز,0914217317-0912361716,handm.power4444@gmail.com,منتجة
